date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-05-11,-45.57142857142857,-15.857142857142858,21.5,-64.42857142857143,-56.0,25.142857142857142,-11.534388346809703,Alexandria Fire Department (73375)
2020-05-18,-44.142857142857146,-17.0,85.66666666666667,-61.42857142857143,-54.714285714285715,24.0,-11.1218203413295,Alexandria Fire Department (73375)
2020-05-25,-40.857142857142854,-15.571428571428571,58.25,-63.42857142857143,-55.285714285714285,23.285714285714285,-17.194862736093206,Alexandria Fire Department (73375)
2020-06-01,-36.42857142857143,-15.142857142857142,114.33333333333333,-58.42857142857143,-47.285714285714285,21.428571428571427,-11.228835458078281,Alexandria Fire Department (73375)
2020-06-08,-33.857142857142854,-11.857142857142858,94.25,-55.57142857142857,-45.714285714285715,19.857142857142858,-10.63260814531404,Alexandria Fire Department (73375)
2020-06-15,-29.857142857142858,-10.714285714285714,129.0,-52.714285714285715,-44.42857142857143,18.285714285714285,-9.218408911844948,Alexandria Fire Department (73375)
2020-06-22,-29.285714285714285,-12.142857142857142,69.0,-53.285714285714285,-44.0,18.0,-14.97138221586932,Alexandria Fire Department (73375)
2020-06-29,-26.428571428571427,-10.0,134.33333333333334,-52.42857142857143,-43.714285714285715,16.142857142857142,-7.1954351264910725,Alexandria Fire Department (73375)
2020-07-13,-26.285714285714285,-11.428571428571429,112.2,-55.142857142857146,-44.0,16.285714285714285,-16.93988502067472,Alexandria Fire Department (73375)
2020-07-20,-26.0,-12.285714285714286,98.75,-58.714285714285715,-44.857142857142854,16.142857142857142,-3.1087139956787877,Alexandria Fire Department (73375)
2020-07-27,-26.142857142857142,-12.857142857142858,75.2,-57.57142857142857,-43.0,15.857142857142858,-0.0901622921258277,Alexandria Fire Department (73375)
2020-08-03,-25.285714285714285,-13.285714285714286,83.75,-57.142857142857146,-43.142857142857146,16.0,-0.03379750696049734,Alexandria Fire Department (73375)
2020-08-10,-25.571428571428573,-12.571428571428571,101.2,-56.0,-42.714285714285715,15.714285714285714,-10.037587117146447,Alexandria Fire Department (73375)
2020-08-17,-26.714285714285715,-13.0,83.0,-55.57142857142857,-44.285714285714285,15.857142857142858,-7.07205159623697,Alexandria Fire Department (73375)
2020-08-24,-24.142857142857142,-11.714285714285714,,-57.8,-47.5,14.714285714285714,0.1772890870727215,Alexandria Fire Department (73375)
2020-08-31,-24.142857142857142,-13.142857142857142,,-55.4,-48.333333333333336,14.857142857142858,3.9259932030479083,Alexandria Fire Department (73375)
2020-09-07,-21.857142857142858,-10.0,,-56.0,-51.833333333333336,13.714285714285714,4.0378647120448585,Alexandria Fire Department (73375)
2020-09-14,-24.714285714285715,-12.0,89.25,-48.857142857142854,-44.0,14.857142857142858,3.51760271994464,Alexandria Fire Department (73375)
2020-09-28,-24.428571428571427,-12.285714285714286,51.42857142857143,-46.142857142857146,-42.0,14.285714285714286,5.9602460483762085,Alexandria Fire Department (73375)
2020-10-05,-23.571428571428573,-9.714285714285714,46.857142857142854,-46.57142857142857,-41.0,14.0,7.911007968120229,Alexandria Fire Department (73375)
2020-10-12,-25.428571428571427,-11.857142857142858,38.857142857142854,-47.285714285714285,-42.857142857142854,14.857142857142858,2.4059160110942557,Alexandria Fire Department (73375)
